Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
45,Exit long,2025-10-01 15:00,TP2,117366.4,0.000932,100.9657968,8.33,8.25,8.85,8.76,-1.09,-1.08,230.09,2.30
45,Entry long,2025-08-29 23:00,L8,108332.4,0.000932,100.9657968,8.33,8.25,8.85,8.76,-1.09,-1.08,230.09,2.30
46,Exit long,2025-10-01 16:00,TP2,117480.1,0.000932,100.9657968,8.44,8.35,9.14,9.05,-1.09,-1.08,238.57,2.39
46,Entry long,2025-08-29 23:00,L8,108332.4,0.000932,100.9657968,8.44,8.35,9.14,9.05,-1.09,-1.08,238.57,2.39
47,Exit long,2025-10-01 17:00,TP2,116734.2,0.000835,90.457554,6.94,7.66,8.19,9.05,-0.97,-1.08,245.54,2.46
47,Entry long,2025-08-29 23:00,L8,108332.4,0.000835,90.457554,6.94,7.66,8.19,9.05,-0.97,-1.08,245.54,2.46
48,Exit long,2025-10-01 17:00,TP2,116734.2,0.000097,10.9238102,0.39,3.57,0.54,4.90,-0.4,-3.64,245.93,2.46
48,Entry long,2025-09-23 05:00,L9,112616.6,0.000097,10.9238102,0.39,3.57,0.54,4.90,-0.4,-3.64,245.93,2.46
49,Exit long,2025-10-01 22:00,TP2,117695.8,0.000915,103.044189,4.56,4.42,5.06,4.90,-3.75,-3.64,250.54,2.51
49,Entry long,2025-09-23 05:00,L9,112616.6,0.000915,103.044189,4.56,4.42,5.06,4.90,-3.75,-3.64,250.54,2.51
50,Exit long,2025-10-02 16:00,TP2,119694,0.000909,102.3684894,6.35,6.19,6.94,6.77,-3.73,-3.64,256.93,2.57
50,Entry long,2025-09-23 05:00,L9,112616.6,0.000909,102.3684894,6.35,6.19,6.94,6.77,-3.73,-3.64,256.93,2.57
51,Exit long,2025-10-02 18:00,TP2,120461.6,0.000909,102.3684894,7.04,6.87,7.25,7.08,-3.73,-3.64,264.02,2.64
51,Entry long,2025-09-23 05:00,L9,112616.6,0.000909,102.3684894,7.04,6.87,7.25,7.08,-3.73,-3.64,264.02,2.64
52,Exit long,2025-10-02 19:00,TP2,120787.9,0.000909,102.3684894,7.34,7.16,7.58,7.40,-3.73,-3.64,271.4,2.71
52,Entry long,2025-09-23 05:00,L9,112616.6,0.000909,102.3684894,7.34,7.16,7.58,7.40,-3.73,-3.64,271.4,2.71
53,Exit long,2025-10-02 20:00,TP2,120598.8,0.00081,91.219446,6.39,7.00,6.76,7.40,-3.32,-3.64,277.83,2.78
53,Entry long,2025-09-23 05:00,L9,112616.6,0.00081,91.219446,6.39,7.00,6.76,7.40,-3.32,-3.64,277.83,2.78
54,Exit long,2025-10-02 20:00,TP2,120598.8,0.000099,10.8035532,1.13,10.42,1.17,10.83,-0.06,-0.56,278.96,2.79
54,Entry long,2025-09-25 20:00,L10,109126.8,0.000099,10.8035532,1.13,10.42,1.17,10.83,-0.06,-0.56,278.96,2.79
55,Exit long,2025-10-02 21:00,TP2,120105.2,0.000887,96.7954716,9.66,9.97,10.5,10.83,-0.54,-0.56,288.66,2.89
55,Entry long,2025-09-25 20:00,L10,109126.8,0.000887,96.7954716,9.66,9.97,10.5,10.83,-0.54,-0.56,288.66,2.89
56,Exit long,2025-11-18 15:00,TP1,92851.4,0.001104,120.4759872,-18.05,-14.99,18.81,15.60,-22.24,-18.47,269.58,2.70
56,Entry long,2025-09-25 20:00,L10,109126.8,0.001104,120.4759872,-18.05,-14.99,18.81,15.60,-22.24,-18.47,269.58,2.70
57,Exit long,2025-11-20 00:00,TP1,91850.1,0.001114,121.5672552,-19.33,-15.90,18.98,15.60,-22.95,-18.88,250.09,2.50
57,Entry long,2025-09-25 20:00,L10,109126.8,0.001114,121.5672552,-19.33,-15.90,18.98,15.60,-22.95,-18.88,250.09,2.50
58,Exit long,2025-11-23 01:00,TP1,85837.5,0.001164,127.0235952,-27.2,-21.41,19.83,15.60,-33.23,-26.17,222.74,2.23
58,Entry long,2025-09-25 20:00,L10,109126.8,0.001164,127.0235952,-27.2,-21.41,19.83,15.60,-33.23,-26.17,222.74,2.23
59,Exit long,2025-11-26 17:00,TP2,89792.5,0.000292,31.8650256,-5.67,-17.79,4.98,15.60,-8.33,-26.17,217.09,2.17
59,Entry long,2025-09-25 20:00,L10,109126.8,0.000292,31.8650256,-5.67,-17.79,4.98,15.60,-8.33,-26.17,217.09,2.17
60,Exit long,2025-11-26 17:00,TP2,89792.5,0.000872,98.2873928,-20.06,-20.41,3.15,3.21,-28.02,-28.52,197.08,1.97
60,Entry long,2025-10-10 23:00,L11,112714.9,0.000872,98.2873928,-20.06,-20.41,3.15,3.21,-28.02,-28.52,197.08,1.97
61,Exit long,2025-11-26 18:00,TP2,90103.4,0.001164,131.2001436,-26.41,-20.13,4.21,3.21,-37.4,-28.52,170.72,1.71
61,Entry long,2025-10-10 23:00,L11,112714.9,0.001164,131.2001436,-26.41,-20.13,4.21,3.21,-37.4,-28.52,170.72,1.71
62,Exit long,2025-11-26 19:00,TP2,89923.3,0.001164,131.2001436,-26.62,-20.29,4.21,3.21,-37.4,-28.52,144.16,1.44
62,Entry long,2025-10-10 23:00,L11,112714.9,0.001164,131.2001436,-26.62,-20.29,4.21,3.21,-37.4,-28.52,144.16,1.44
63,Exit long,2025-11-26 20:00,TP2,89811,0.001164,131.2001436,-26.75,-20.39,4.21,3.21,-37.4,-28.52,117.46,1.17
63,Entry long,2025-10-10 23:00,L11,112714.9,0.001164,131.2001436,-26.75,-20.39,4.21,3.21,-37.4,-28.52,117.46,1.17
64,Exit long,2025-12-17 14:00,TP1,89633.9,0.00017,19.161533,-3.94,-20.55,0.61,3.21,-5.46,-28.52,113.32,1.13
64,Entry long,2025-10-10 23:00,L11,112714.9,0.00017,19.161533,-3.94,-20.55,0.61,3.21,-5.46,-28.52,113.32,1.13
65,Exit long,2025-12-17 14:00,TP1,89633.9,0.000978,104.5539702,-16.97,-16.23,0.51,0.49,-25.75,-24.64,96.39,0.96
65,Entry long,2025-11-03 18:00,L12,106905.9,0.000978,104.5539702,-16.97,-16.23,0.51,0.49,-25.75,-24.64,96.39,0.96
66,Exit long,2026-01-05 00:00,TP2,92368.1,0.001148,122.7279732,-16.78,-13.67,0.6,0.49,-30.22,-24.64,79.66,0.80
66,Entry long,2025-11-03 18:00,L12,106905.9,0.001148,122.7279732,-16.78,-13.67,0.6,0.49,-30.22,-24.64,79.66,0.80
67,Exit long,2026-01-05 01:00,TP2,92917,0.001148,122.7279732,-16.15,-13.16,0.6,0.49,-30.22,-24.64,63.56,0.64
67,Entry long,2025-11-03 18:00,L12,106905.9,0.001148,122.7279732,-16.15,-13.16,0.6,0.49,-30.22,-24.64,63.56,0.64
68,Exit long,2026-01-05 02:00,TP2,92990.4,0.001148,122.7279732,-16.07,-13.09,0.6,0.49,-30.22,-24.64,47.55,0.48
68,Entry long,2025-11-03 18:00,L12,106905.9,0.001148,122.7279732,-16.07,-13.09,0.6,0.49,-30.22,-24.64,47.55,0.48
69,Exit long,2026-01-05 03:00,TP2,92835.2,0.00035,37.417065,-4.95,-13.24,0.18,0.49,-9.21,-24.64,42.61,0.43
69,Entry long,2025-11-03 18:00,L12,106905.9,0.00035,37.417065,-4.95,-13.24,0.18,0.49,-9.21,-24.64,42.61,0.43
70,Exit long,2026-01-05 03:00,TP2,92835.2,0.000798,77.6718936,-3.65,-4.70,0.12,0.15,-13.37,-17.23,38.99,0.39
70,Entry long,2025-11-14 08:00,L13,97333.2,0.000798,77.6718936,-3.65,-4.70,0.12,0.15,-13.37,-17.23,38.99,0.39
71,Exit long,2026-01-13 22:00,TP1,95730.5,0.001071,104.2438572,-1.8,-1.73,0.16,0.15,-17.95,-17.23,37.23,0.37
71,Entry long,2025-11-14 08:00,L13,97333.2,0.001071,104.2438572,-1.8,-1.73,0.16,0.15,-17.95,-17.23,37.23,0.37
72,Exit long,2026-01-13 22:00,TP2,95730.5,0.001114,108.4291848,-1.88,-1.73,0.16,0.15,-18.67,-17.23,35.41,0.35
72,Entry long,2025-11-14 08:00,L13,97333.2,0.001114,108.4291848,-1.88,-1.73,0.16,0.15,-18.67,-17.23,35.41,0.35
73,Exit long,2026-01-13 23:00,TP2,95375.2,0.001114,108.4291848,-2.27,-2.10,0.16,0.15,-18.67,-17.23,33.18,0.33
73,Entry long,2025-11-14 08:00,L13,97333.2,0.001114,108.4291848,-2.27,-2.10,0.16,0.15,-18.67,-17.23,33.18,0.33
74,Exit long,2026-01-14 00:00,TP2,95196.2,0.001114,108.4291848,-2.47,-2.28,0.16,0.15,-18.67,-17.23,30.76,0.31
74,Entry long,2025-11-14 08:00,L13,97333.2,0.001114,108.4291848,-2.47,-2.28,0.16,0.15,-18.67,-17.23,30.76,0.31
75,Exit long,2026-01-14 01:00,TP2,95191.4,0.000005,0.486666,-0.01,-2.28,0.001,0.15,-0.08,-17.23,30.74,0.31
75,Entry long,2025-11-14 08:00,L13,97333.2,0.000005,0.486666,-0.01,-2.28,0.001,0.15,-0.08,-17.23,30.74,0.31
76,Exit long,2026-01-14 01:00,TP2,95191.4,0.001109,104.2399005,1.24,1.19,3.13,3.01,-14.88,-14.29,32.03,0.32
76,Entry long,2025-11-16 19:00,L14,93994.5,0.001109,104.2399005,1.24,1.19,3.13,3.01,-14.88,-14.29,32.03,0.32
77,Exit long,2026-01-14 14:00,TP2,96449,0.001104,103.769928,2.62,2.52,3.12,3.01,-14.82,-14.29,34.69,0.35
