Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1185,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,92475.6,-1551.9,-1.68,1349.4,1.46,-3233.6,-3.50,124886,0.12
1185,Entry long,2026-01-06 16:50,BULL|3027.051|-42.6590448663|506.67496|5.9743449726|0.0140926086|1492.1959775668|1534.8550224332|23.5960083883|12.5363235484|-807.5810774236|-1040.0317028442|-1094.8615896444|-110.8779689141|258.0515964273|-14.4727039688|-19.3866303566|-62.7415869571|-0.875131918|4.9674099514|-0.8575651454|1|0|1|0,92475.6,1,92475.6,-1551.9,-1.68,1349.4,1.46,-3233.6,-3.50,124886,0.12
1186,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,92575.9,-1652.2,-1.78,1249.1,1.35,-3333.9,-3.60,123233.8,0.12
1186,Entry long,2026-01-06 16:55,BULL|2060.488|1061.027386884|514.691125|4.0033486103|0.5149398525|1560.757693442|499.730306558|23.0230685559|11.9307179922|-772.4373431124|-1039.6951654778|-1125.6485390012|-111.7070777644|258.0264823967|-11.3951328556|-14.0473614712|-54.4928895876|-0.7489261957|0.7446088794|-0.2860336466|1|0|1|0,92575.9,1,92575.9,-1652.2,-1.78,1249.1,1.35,-3333.9,-3.60,123233.8,0.12
1187,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,91792.2,-868.5,-0.95,2032.8,2.21,-2550.2,-2.78,122365.3,0.12
1187,Entry long,2026-01-06 17:50,BULL|4975.348|-203.2611682928|563.34946|8.8317258705|0.0408536585|2386.0434158536|2589.3045841464|29.4011621789|26.2994620576|-565.5328763696|-961.853104644|-1290.2145012087|-1.3515084326|259.3652773669|3.0087609122|5.6148523948|30.23550175|-0.1936601994|7.4931559699|-0.7205819502|1|0|1|0,91792.2,1,91792.2,-868.5,-0.95,2032.8,2.21,-2550.2,-2.78,122365.3,0.12
1188,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,91811.4,-887.7,-0.97,2013.6,2.19,-2569.4,-2.80,121477.6,0.12
1188,Entry long,2026-01-06 18:10,BULL|6351.643|4170.1129371378|651.220835|9.7534394765|0.6565408253|5260.8779685689|1090.7650314311|25.9848309235|24.1166463511|-745.2604168907|-1264.3827222583|-1738.8022297279|-65.6132392196|290.6075355809|-10.4061345733|-16.7370670991|-77.6987593471|-0.9295349408|8.2766937493|0.5677834288|1|0|1|0,91811.4,1,91811.4,-887.7,-0.97,2013.6,2.19,-2569.4,-2.80,121477.6,0.12
1189,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,91730.8,-807.1,-0.88,377.3,0.41,-2488.8,-2.71,120670.5,0.12
1189,Entry long,2026-01-07 14:40,BULL|2779.525|1639.2070512821|451.799995|6.1521138352|0.5897435897|2209.3660256411|570.1589743589|37.8532462314|37.8347536104|-203.6242341417|-347.4540156492|-811.7799180993|-46.825248699|146.6641115879|7.4190275533|18.3553926532|-12.0982854874|0.0001091591|3.4451643721|-0.3188167215|1|0|1|0,91730.8,1,91730.8,-807.1,-0.88,377.3,0.41,-2488.8,-2.71,120670.5,0.12
1190,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,91050.1,-126.4,-0.14,615.9,0.68,-1808.1,-1.99,120544.1,0.12
1190,Entry long,2026-01-07 19:05,BULL|3222.425|602.685822021|541.653095|5.9492413682|0.1870286576|1912.5554110105|1309.8695889895|31.9705577664|23.3862059858|-364.2191611184|-524.2903378818|-1128.354725008|-35.7153425262|189.7410557|-16.074320277|-29.6725564295|-30.8232273199|-0.4983983573|4.8358902845|-0.0380178396|1|0|1|0,91050.1,1,91050.1,-126.4,-0.14,615.9,0.68,-1808.1,-1.99,120544.1,0.12
1191,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,90745.2,178.5,0.20,920.8,1.01,-1503.2,-1.66,120722.6,0.12
1191,Entry long,2026-01-07 19:25,BULL|1192.683|1032.4800958777|550.427175|2.1668316067|0.8656785549|1112.5815479389|80.1014520611|37.5551934427|36.5688231104|-268.539144265|-468.3135765237|-1106.0160635289|-38.7431724201|196.3439606375|4.1751080083|11.2270459174|-14.8943773014|-0.079750957|-1.7062142111|0.3536826386|1|0|1|0,90745.2,1,90745.2,178.5,0.20,920.8,1.01,-1503.2,-1.66,120722.6,0.12
1192,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,90724.6,199.1,0.22,875.4,0.96,-1482.6,-1.63,120921.7,0.12
1192,Entry long,2026-01-08 03:55,BULL|1575.267|852.0139773913|514.504605|3.0617160365|0.5408695652|1213.6404886956|361.6265113044|32.504207626|25.0745608343|-272.111990359|-371.3151014795|-689.1357758255|-18.9564987446|135.910017411|-8.1323545645|-13.4352693821|-11.5438996241|-0.2600888875|2.8614416754|-0.2377374|1|0|1|0,90724.6,1,90724.6,199.1,0.22,875.4,0.96,-1482.6,-1.63,120921.7,0.12
1193,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,90491.8,431.9,0.48,1108.2,1.22,-1249.8,-1.38,121353.6,0.12
1193,Entry long,2026-01-08 06:15,BULL|2590.965|-64.5549569363|516.749805|5.0139641562|0.0249154106|1263.2050215319|1327.7599784681|27.5039901951|14.5356140197|-348.1547814645|-430.9515437842|-756.7331464683|-44.9979037967|119.952248046|-13.9426372154|-18.7550323124|-38.7520487008|-0.351089202|4.5911700409|-0.8702584347|1|0|1|0,90491.8,1,90491.8,431.9,0.48,1108.2,1.22,-1249.8,-1.38,121353.6,0.12
1194,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,90287.2,636.5,0.70,1312.8,1.45,-1045.2,-1.16,121990.1,0.12
1194,Entry long,2026-01-08 06:20,BULL|998.254|173.325430297|520.133585|1.9192261926|0.1736285858|585.7897151485|412.4642848515|25.9490380145|13.0259401399|-361.3225286041|-461.4181499104|-798.0129161551|-53.4174228027|125.5770874713|-14.2324332956|-18.3203849509|-38.2743942141|-0.3780472768|1.6299069758|-0.4017560296|1|0|1|0,90287.2,1,90287.2,636.5,0.70,1312.8,1.45,-1045.2,-1.16,121990.1,0.12
1195,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,89930.2,993.5,1.10,1669.8,1.86,-688.2,-0.77,122983.6,0.12
1195,Entry long,2026-01-08 07:10,BULL|4094.694|1319.3429961489|560.818375|7.3012835929|0.3222079589|2707.0184980745|1387.6755019255|20.0170963903|14.0101665521|-559.4042080078|-841.5631983635|-1336.4847981472|-60.0436028837|176.4580931749|-12.3837547277|-19.902002085|-3.3640776617|-0.5642164165|5.7670683408|-0.446828854|1|0|1|0,89930.2,1,89930.2,993.5,1.10,1669.8,1.86,-688.2,-0.77,122983.6,0.12
1196,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,89764.2,1159.5,1.29,1835.8,2.05,-522.2,-0.58,124143.1,0.12
1196,Entry long,2026-01-08 14:35,BULL|3897.805|1816.692911176|543.726915|7.1686813591|0.4660810151|2857.248955588|1040.556044412|31.7224024565|22.3893675391|-266.4191837646|-387.5985288338|-929.3363696711|-24.9828778107|140.3252431669|-4.8425708661|-6.0589452712|-17.4000872459|-0.1667964715|5.858381187|-0.4861966421|1|0|1|0,89764.2,1,89764.2,1159.5,1.29,1835.8,2.05,-522.2,-0.58,124143.1,0.12
1197,Exit long,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,89967.8,955.9,1.06,1632.2,1.81,-206.5,-0.23,125099,0.13
1197,Entry long,2026-01-08 14:55,BULL|3825.045|2821.6506192186|585.59992|6.5318400317|0.7376777578|3323.3478096093|501.6971903907|51.4027099482|56.9757951444|76.2838031797|-64.9918748194|-623.4507417164|-14.1276483326|239.8514803751|15.1147701721|27.5590778827|2.4038709073|0.1800249248|5.2568545376|0.3576101903|0|1|1|0,89967.8,1,89967.8,955.9,1.06,1632.2,1.81,-206.5,-0.23,125099,0.13
1198,Exit short,2026-01-10 22:25,BULL|112.168|32.4452892562|87.111175|1.2876419128|0.2892561983|72.3066446281|39.8613553719|30.8901655099|28.2788605056|-85.2926525963|-133.8920258699|-199.2736768957|-11.9280439861|31.1216580103|-6.5828091043|-7.2586820673|-6.6214146246|-0.0887587045|1.0548364613|-0.7107438017|1|0|1|0,90390.1,1,90923.7,533.6,0.59,1290.9,1.42,-1075.3,-1.18,125632.6,0.13
1198,Entry short,2026-01-09 01:40,BEAR|1286.515|-1286.515|586.352195|2.1940994013|1|0|1286.515|46.4174062731|42.9132800303|-93.4086634355|-42.3561738629|206.8076987462|2.883194082|143.6179090182|-13.4126365276|-24.6775213839|-18.9553116977|-0.1929512001|1.8375407918|0.3662239089|1|0|1|0,90923.7,1,90923.7,533.6,0.59,1290.9,1.42,-1075.3,-1.18,125632.6,0.13
1199,Exit short,2026-01-10 22:25,BULL|112.168|32.4452892562|87.111175|1.2876419128|0.2892561983|72.3066446281|39.8613553719|30.8901655099|28.2788605056|-85.2926525963|-133.8920258699|-199.2736768957|-11.9280439861|31.1216580103|-6.5828091043|-7.2586820673|-6.6214146246|-0.0887587045|1.0548364613|-0.7107438017|1|0|1|0,90390.1,1,91199.8,809.7,0.89,1117.2,1.23,-550.1,-0.60,126442.3,0.13
1199,Entry short,2026-01-09 15:45,BEAR|2984.829|-2702.7013273973|475.345535|6.2792827117|0.9054794521|141.0638363014|2843.7651636986|70.547806591|75.7351698135|920.0075183806|1052.2229577663|928.4185255776|185.3213216745|324.6128125871|23.5288678317|24.4480490847|205.336698969|1.5116734041|4.1021469096|0.126045771|0|1|0|1,91199.8,1,91199.8,809.7,0.89,1117.2,1.23,-550.1,-0.60,126442.3,0.13
1200,Exit long,2026-01-11 05:55,BEAR|254.449|-253.4531135029|77.964205|3.2636643957|0.9960861057|0.4979432486|253.9510567514|65.0183513714|66.2785611569|43.5107527032|89.9236399764|156.1429744244|2.0199841728|25.3250080515|11.9049714258|24.7235894618|4.1921079999|0.0701186505|2.5004053254|0.6596805757|0|1|0|1,90719.2,1,90390.1,329.1,0.36,427.9,0.47,-5.2,-0.01,126771.4,0.13
1200,Entry long,2026-01-10 22:25,BULL|112.168|32.4452892562|87.111175|1.2876419128|0.2892561983|72.3066446281|39.8613553719|30.8901655099|28.2788605056|-85.2926525963|-133.8920258699|-199.2736768957|-11.9280439861|31.1216580103|-6.5828091043|-7.2586820673|-6.6214146246|-0.0887587045|1.0548364613|-0.7107438017|1|0|1|0,90390.1,1,90390.1,329.1,0.36,427.9,0.47,-5.2,-0.01,126771.4,0.13
1201,Exit short,2026-01-11 20:15,BULL|1320.928|363.5251444142|146.919365|8.9908365722|0.2752043597|842.2265722071|478.7014277929|21.5965578133|10.3373783473|-259.3641293977|-330.6951952708|-288.0568063594|-28.1594314106|80.7811284711|-14.1012179803|-16.0086480683|-23.1403698463|-0.2662443784|8.1236268186|-0.2509394312|1|0|1|0,90522.1,1,90719.2,197.1,0.22,404.3,0.45,-533.3,-0.59,126968.5,0.13
1201,Entry short,2026-01-11 05:55,BEAR|254.449|-253.4531135029|77.964205|3.2636643957|0.9960861057|0.4979432486|253.9510567514|65.0183513714|66.2785611569|43.5107527032|89.9236399764|156.1429744244|2.0199841728|25.3250080515|11.9049714258|24.7235894618|4.1921079999|0.0701186505|2.5004053254|0.6596805757|0|1|0|1,90719.2,1,90719.2,197.1,0.22,404.3,0.45,-533.3,-0.59,126968.5,0.13
1202,Exit short,2026-01-11 20:15,BULL|1320.928|363.5251444142|146.919365|8.9908365722|0.2752043597|842.2265722071|478.7014277929|21.5965578133|10.3373783473|-259.3641293977|-330.6951952708|-288.0568063594|-28.1594314106|80.7811284711|-14.1012179803|-16.0086480683|-23.1403698463|-0.2662443784|8.1236268186|-0.2509394312|1|0|1|0,90522.1,1,90802.8,280.7,0.31,487.9,0.54,-449.7,-0.50,127249.2,0.13
1202,Entry short,2026-01-11 12:40,BEAR|222.301|-222.301|81.994445|2.7111714702|1|0|222.301|60.3420013059|59.3851553492|46.3993130248|68.3482116242|114.2371394319|13.8936293551|34.8566831919|-1.0734829106|-14.9837715481|7.2274869199|0.0503724475|1.4827551581|0.5354330709|0|1|0|1,90802.8,1,90802.8,280.7,0.31,487.9,0.54,-449.7,-0.50,127249.2,0.13
1203,Exit short,2026-01-11 20:15,BULL|1320.928|363.5251444142|146.919365|8.9908365722|0.2752043597|842.2265722071|478.7014277929|21.5965578133|10.3373783473|-259.3641293977|-330.6951952708|-288.0568063594|-28.1594314106|80.7811284711|-14.1012179803|-16.0086480683|-23.1403698463|-0.2662443784|8.1236268186|-0.2509394312|1|0|1|0,90522.1,1,90994.5,472.4,0.52,679.6,0.75,-258,-0.28,127721.6,0.13
1203,Entry short,2026-01-11 15:05,BEAR|531.511|-87.4523640239|99.389105|5.3477793165|0.1645353794|222.0293179881|309.4816820119|76.1026275337|86.2823353772|145.7363695974|226.4145893615|357.1359525548|16.3262266764|55.8245099681|7.8878438696|8.6536977988|8.2977738468|0.1175139802|0.3575347381|0.0870643197|0|1|0|1,90994.5,1,90994.5,472.4,0.52,679.6,0.75,-258,-0.28,127721.6,0.13
1204,Exit long,2026-01-12 01:15,BEAR|1599.724|-1074.8072|232.698985|6.8746496681|0.6718703976|262.4584|1337.2656|66.92671436|72.0732224558|481.7439206806|628.8602389906|709.1151221987|52.293075365|214.1034155282|18.7050941124|32.5666050149|60.3666624401|0.7719302884|5.4009675971|0.0755683946|0|1|0|1,91491.2,1,90522.1,969.1,1.07,1247.9,1.38,-346.8,-0.38,128690.7,0.13
1204,Entry long,2026-01-11 20:15,BULL|1320.928|363.5251444142|146.919365|8.9908365722|0.2752043597|842.2265722071|478.7014277929|21.5965578133|10.3373783473|-259.3641293977|-330.6951952708|-288.0568063594|-28.1594314106|80.7811284711|-14.1012179803|-16.0086480683|-23.1403698463|-0.2662443784|8.1236268186|-0.2509394312|1|0|1|0,90522.1,1,90522.1,969.1,1.07,1247.9,1.38,-346.8,-0.38,128690.7,0.13
1205,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,91491.2,-4786,-5.23,1425.2,1.56,-6440.9,-7.04,123904.7,0.12
1205,Entry short,2026-01-12 01:15,BEAR|1599.724|-1074.8072|232.698985|6.8746496681|0.6718703976|262.4584|1337.2656|66.92671436|72.0732224558|481.7439206806|628.8602389906|709.1151221987|52.293075365|214.1034155282|18.7050941124|32.5666050149|60.3666624401|0.7719302884|5.4009675971|0.0755683946|0|1|0|1,91491.2,1,91491.2,-4786,-5.23,1425.2,1.56,-6440.9,-7.04,123904.7,0.12
1206,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,91659.8,-4617.4,-5.04,1593.8,1.74,-6272.3,-6.84,119287.3,0.12
1206,Entry short,2026-01-12 02:25,BEAR|1747.133|-1472.5835285713|258.83739|6.7499251171|0.8428571429|137.2747357143|1609.8582642857|66.6057242871|73.8835624964|364.6304101104|601.3404816825|849.6210167953|18.2895533111|189.4070275442|8.8487226642|17.760806914|23.6054671234|0.3623232019|6.0684155027|0.3462128476|0|1|0|1,91659.8,1,91659.8,-4617.4,-5.04,1593.8,1.74,-6272.3,-6.84,119287.3,0.12
1207,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92163.6,-4113.6,-4.46,2097.6,2.28,-5768.5,-6.26,115173.7,0.12
1207,Entry short,2026-01-12 02:50,BEAR|769.542|21.5416759975|268.006055|2.8713604997|0.0279928529|395.5418379988|374.0001620012|69.1352604372|76.2204818253|389.4046793317|669.7169109473|993.7237163704|23.793620013|182.1223301265|2.5295361501|2.3369193289|5.5040667019|0.2053130615|-3.8785646174|-0.81486429|0|1|0|1,92163.6,1,92163.6,-4113.6,-4.46,2097.6,2.28,-5768.5,-6.26,115173.7,0.12
1208,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92168.8,-4108.4,-4.46,2102.8,2.28,-5763.3,-6.25,111065.3,0.11
1208,Entry short,2026-01-12 03:00,BEAR|1874.351|-923.5367713098|285.653295|6.5616291946|0.4927234927|475.4071143451|1398.9438856549|75.259531919|85.0406856642|571.1856853981|894.7657836157|1266.6012819481|48.882585904|192.5054785275|9.0772436554|13.2319351545|29.6787377813|0.4985688219|5.3594978125|0.0055440055|0|1|0|1,92168.8,1,92168.8,-4108.4,-4.46,2102.8,2.28,-5763.3,-6.25,111065.3,0.11
1209,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92409.7,-3867.5,-4.19,2343.7,2.54,-5522.4,-5.98,107197.8,0.11
1209,Entry short,2026-01-12 03:25,BEAR|709.832|-101.7088612153|305.19974|2.325794904|0.1432858215|304.0615693924|405.7704306076|76.9099235586|84.7289217507|530.1832372342|927.6037046507|1411.0971133994|43.4560807369|185.3683490118|1.6503916396|-0.3117639136|-5.4265051672|0.2278741866|-4.2358342906|-0.3494376713|0|1|0|1,92409.7,1,92409.7,-3867.5,-4.19,2343.7,2.54,-5522.4,-5.98,107197.8,0.11
1210,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92344.9,-3932.3,-4.26,2278.9,2.47,-5587.2,-6.05,103265.5,0.10
1210,Entry short,2026-01-12 03:30,BEAR|437.221|-58.9297869565|306.8435|1.424899012|0.1347826087|189.1456065217|248.0753934783|76.8840150446|84.66205824|481.6211247584|890.8427750565|1396.6603262014|38.0024353769|181.9848955109|3.3784639105|3.8086730988|-10.0112010478|0.2613682721|-1.357878521|-0.86394755|0|1|0|1,92344.9,1,92344.9,-3932.3,-4.26,2278.9,2.47,-5587.2,-6.05,103265.5,0.10
1211,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92520,-3757.2,-4.06,819.4,0.89,-5412.1,-5.85,99508.3,0.10
1211,Entry short,2026-01-13 09:30,BEAR|2793.648|-209.8150097358|415.79426|6.7188229102|0.0751043115|1291.9164951321|1501.7315048679|75.17414128|84.5525371208|354.5676686349|535.5211092262|926.4384778008|41.6903843368|116.0742542842|14.0148824188|18.6908642386|25.8836930707|0.416984126|6.0364457281|0.0148261044|0|1|0|1,92520,1,92520,-3757.2,-4.06,819.4,0.89,-5412.1,-5.85,99508.3,0.10
1212,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,92485.8,-3791.4,-4.10,425.6,0.46,-5446.3,-5.89,95716.9,0.10
1212,Entry short,2026-01-13 14:50,BEAR|2428.066|-1451.5522157198|429.042065|5.6592725937|0.5978223886|488.2568921401|1939.8091078599|69.4923553975|77.7649431836|442.5613696073|523.47977453|806.7124530267|70.8381626471|193.8124011994|17.8298005234|23.5566652324|78.0787034404|0.622502172|4.1853228367|0.1285697869|0|1|0|1,92485.8,1,92485.8,-3791.4,-4.10,425.6,0.46,-5446.3,-5.89,95716.9,0.10
1213,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,93437.7,-2839.5,-3.04,427.9,0.46,-4494.4,-4.81,92877.4,0.09
1213,Entry short,2026-01-13 16:10,BEAR|4236.647|90.8194355023|544.03553|7.7874454266|0.0214366303|2163.7332177511|2072.9137822489|73.6379337876|81.0668015248|839.7888069411|1117.7567612144|1564.3736261376|99.5077723021|272.478757337|6.5098624478|7.2728914761|58.3284455064|0.6185402879|-0.4760031554|-0.1412354758|0|1|0|1,93437.7,1,93437.7,-2839.5,-3.04,427.9,0.46,-4494.4,-4.81,92877.4,0.09
1214,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,93375.7,-2901.5,-3.11,325.7,0.35,-4556.4,-4.88,89975.9,0.09
1214,Entry short,2026-01-13 17:05,BEAR|1656.737|-1427.9595594904|597.69895|2.7718586422|0.861910828|114.3887202548|1542.3482797452|58.5681783413|50.7423382219|175.1448848522|571.7843670608|1221.5520854626|-3.5418843805|255.6554901118|-8.4518664133|-18.820901296|-27.679777234|-0.1602286414|1.0402314974|-0.0973025733|0|1|0|1,93375.7,1,93375.7,-2901.5,-3.11,325.7,0.35,-4556.4,-4.88,89975.9,0.09
1215,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,93531.8,-2745.4,-2.94,109.9,0.12,-4400.3,-4.70,87230.5,0.09
1215,Entry short,2026-01-13 18:55,BEAR|1232.617|-577.5254740789|626.81446|1.9664782462|0.4685360287|327.5457629606|905.0712370394|61.0175836738|65.2439841241|178.163796647|455.2660617334|1239.6668946699|0.2158657805|202.6682497363|2.0913522587|5.0914853428|0.0685542722|0.0770765228|1.0238249034|-0.5314639713|0|1|0|1,93531.8,1,93531.8,-2745.4,-2.94,109.9,0.12,-4400.3,-4.70,87230.5,0.09
1216,Exit short,2026-01-15 14:55,BULL|4554.095|3528.9793458618|411.37796|11.0703427087|0.774902444|4041.5371729309|512.5578270691|31.8294558951|26.823704059|-612.2954041916|-682.465223026|-561.9579104483|-119.1250647352|219.8064120013|-14.8679432698|-13.253328617|-122.3356250169|-0.7891831773|9.6336915883|-0.1810110786|1|0|1|0,96277.2,1,93986.7,-2290.5,-2.44,82.5,0.09,-3945.4,-4.20,84940,0.08
