Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
12,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107719.5,502.1,0.47,922.5,0.86,-1222.5,-1.13,11329.1,0.01
12,Entry long,2025-05-25 01:25,BULL|1150.122|1120.774408271|638.793655|1.8004593361|0.974483062|1135.4482041355|14.6737958645|44.2718967141|51.0322478639|-95.4597459714|-424.3630036526|-871.1693626443|-2.1955204756|256.2095372541|11.5203640028|24.3279506495|17.0433663539|0.1920200848|0.5159085329|0.896425287|1|0|1|0,107719.5,1,107719.5,502.1,0.47,922.5,0.86,-1222.5,-1.13,11329.1,0.01
13,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107128.2,1093.4,1.02,1513.8,1.41,-631.2,-0.59,12422.5,0.01
13,Entry long,2025-05-25 09:30,BULL|862.674|609.9399202321|507.729865|1.6990806716|0.7070340827|736.306960116|126.367039884|41.3579646667|46.4742244753|-174.2374361516|-436.4150314628|-915.4894950801|-11.2063670889|183.5885792753|10.2372648178|15.0720227943|28.8660064039|0.0193339952|0.2005337949|-0.2242422147|1|0|1|0,107128.2,1,107128.2,1093.4,1.02,1513.8,1.41,-631.2,-0.59,12422.5,0.01
14,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107064.9,1156.7,1.08,1577.1,1.47,-471.5,-0.44,13579.2,0.01
14,Entry long,2025-05-25 15:35,BULL|3340.098|479.8834677553|608.835905|5.4860397893|0.1436734694|1909.9907338776|1430.1072661224|29.9615873163|21.2041365275|-462.6608118583|-530.8669746263|-850.5292190605|-65.2562928193|164.8784820956|-8.6009234495|-10.2356177262|-20.6146568565|-0.3330685339|4.2509510087|-0.855540676|1|0|1|0,107064.9,1,107064.9,1156.7,1.08,1577.1,1.47,-471.5,-0.44,13579.2,0.01
15,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107046.7,1174.9,1.10,1595.3,1.49,-453.3,-0.42,14754.1,0.01
15,Entry long,2025-05-25 15:40,BULL|3531.147|2835.1170723694|625.468855|5.6456000515|0.8028884304|3183.1320361847|348.0149638153|43.6027367377|45.4920616981|-150.8734653257|-224.9839560135|-548.3184805624|-49.7006206809|198.1085905174|3.5878815288|11.0781399687|-4.8808295258|-0.0804470692|4.9356271175|0.4777451053|1|0|1|0,107046.7,1,107046.7,1174.9,1.10,1595.3,1.49,-453.3,-0.42,14754.1,0.01
16,Exit short,2025-05-26 19:45,BULL|609.634|-19.6278125901|523.981355|1.1634650626|0.0321960596|295.0030937049|314.6309062951|39.302001422|34.1313371918|-204.0376651411|-373.4306861521|-435.3965443857|-3.3459608355|168.6819100113|-2.0925612376|-4.2916772057|2.1120760155|-0.0936613038|0.4959057433|0.028559696|1|0|1|0,108958.7,1,108221.6,-737.1,-0.68,161.4,0.15,-2178.4,-2.01,14017,0.01
16,Entry short,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,108221.6,-737.1,-0.68,161.4,0.15,-2178.4,-2.01,14017,0.01
