Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
30,Entry long,2025-08-01 20:20,L30,113361.4,0.885907,100427.6578,58.74,0.06,202.78,0.20,-39.69,-0.04,3294.38,0.33
31,Exit long,2025-08-14 12:55,TP,119053.7,0.839727,100156.1707,-183.56,-0.18,219.84,0.22,-235.46,-0.24,3110.81,0.31
31,Entry long,2025-08-14 12:50,L31,119272.3,0.839727,100156.1707,-183.56,-0.18,219.84,0.22,-235.46,-0.24,3110.81,0.31
32,Exit long,2025-08-14 16:45,TP,117659.2,0.852581,100402.6668,-88.67,-0.09,65.65,0.07,-104.01,-0.10,3022.15,0.30
32,Entry long,2025-08-14 16:40,L32,117763.2,0.852581,100402.6668,-88.67,-0.09,65.65,0.07,-104.01,-0.10,3022.15,0.30
33,Exit long,2025-08-18 02:30,TP,115739.2,0.866023,100223.716,9.09,0.01,79.59,0.08,-49.97,-0.05,3031.24,0.30
33,Entry long,2025-08-18 02:25,L33,115728.7,0.866023,100223.716,9.09,0.01,79.59,0.08,-49.97,-0.05,3031.24,0.30
34,Exit long,2025-08-20 00:10,TP,113118.6,0.877885,99973.10486,-667.98,-0.67,224.12,0.22,-1064.79,-1.07,2363.26,0.24
34,Entry long,2025-08-19 14:45,L34,113879.5,0.877885,99973.10486,-667.98,-0.67,224.12,0.22,-1064.79,-1.07,2363.26,0.24
35,Exit long,2025-08-20 00:10,TP,113118.6,0.010548,1193.222459,-0.05,0.00,0.95,0.08,-0.45,-0.04,2363.21,0.24
35,Entry long,2025-08-20 00:05,L35,113123.1,0.010548,1193.222459,-0.05,0.00,0.95,0.08,-0.45,-0.04,2363.21,0.24
36,Exit long,2025-08-20 15:20,TP,114127.5,0.877885,99309.07264,881.75,0.89,1015.01,1.02,-721.01,-0.73,3244.96,0.32
36,Entry long,2025-08-20 00:05,L35,113123.1,0.877885,99309.07264,881.75,0.89,1015.01,1.02,-721.01,-0.73,3244.96,0.32
37,Exit long,2025-08-23 15:30,TP,114848.9,0.87424,100358.9928,46.51,0.05,62.6,0.06,-83.66,-0.08,3291.47,0.33
37,Entry long,2025-08-23 15:25,L36,114795.7,0.87424,100358.9928,46.51,0.05,62.6,0.06,-83.66,-0.08,3291.47,0.33
38,Exit long,2025-08-24 21:35,TP,113372.9,0.887682,100066.7053,572.38,0.57,572.55,0.57,-1041.34,-1.04,3863.84,0.39
38,Entry long,2025-08-24 19:50,L37,112728.1,0.887682,100066.7053,572.38,0.57,572.55,0.57,-1041.34,-1.04,3863.84,0.39
39,Exit long,2025-08-25 20:20,TP,110371.7,0.908997,99990.3063,337.24,0.34,420.05,0.42,-0.27,0.00,4201.08,0.42
39,Entry long,2025-08-25 20:15,L38,110000.7,0.908997,99990.3063,337.24,0.34,420.05,0.42,-0.27,0.00,4201.08,0.42
40,Exit long,2025-08-26 01:05,TP,109220.1,0.920556,100386.1715,157.05,0.16,182.45,0.18,-450.89,-0.45,4358.13,0.44
40,Entry long,2025-08-26 01:00,L39,109049.5,0.920556,100386.1715,157.05,0.16,182.45,0.18,-450.89,-0.45,4358.13,0.44
41,Exit long,2025-08-29 03:25,TP,111535.3,0.900994,100503.5381,-10.9,-0.01,46.04,0.05,-10.9,-0.01,4347.23,0.43
41,Entry long,2025-08-29 03:20,L40,111547.4,0.900994,100503.5381,-10.9,-0.01,46.04,0.05,-10.9,-0.01,4347.23,0.43
42,Exit long,2025-08-29 08:05,TP,110048.8,0.912712,100370.0259,72.83,0.07,260.94,0.26,-42.62,-0.04,4420.06,0.44
42,Entry long,2025-08-29 08:00,L41,109969,0.912712,100370.0259,72.83,0.07,260.94,0.26,-42.62,-0.04,4420.06,0.44
