1777194900000000,78009.73000000,78058.45000000,77992.57000000,78009.97000000,39.39013000,1777195799999999,3073249.58161470,7117,24.15485000,1884525.37115600,0
1777195800000000,78009.98000000,78010.00000000,77926.59000000,77976.34000000,60.44373000,1777196699999999,4712413.19001850,16034,26.92611000,2099296.56755570,0
1777196700000000,77976.35000000,78000.00000000,77945.26000000,77999.99000000,31.47660000,1777197599999999,2454347.70619170,7072,17.90284000,1395919.92057670,0
1777197600000000,78000.00000000,78050.19000000,77954.00000000,78040.14000000,43.58940000,1777198499999999,3400568.66781100,8191,30.06456000,2345392.09945190,0
1777198500000000,78040.13000000,78047.29000000,78001.28000000,78008.05000000,20.99858000,1777199399999999,1638332.87576660,5279,9.36250000,730524.41614280,0
1777199400000000,78008.05000000,78018.24000000,77982.20000000,77992.34000000,62.98529000,1777200299999999,4913327.60829890,6191,39.67076000,3094591.06480860,0
1777200300000000,77992.34000000,78004.49000000,77972.28000000,78002.43000000,25.77413000,1777201199999999,2010134.54505610,4213,17.49664000,1364624.03295790,0
1777201200000000,78002.43000000,78086.00000000,78002.42000000,78048.58000000,40.85006000,1777202099999999,3188665.39221590,8255,31.84104000,2485466.33508830,0
1777202100000000,78048.58000000,78149.99000000,78036.15000000,78139.55000000,31.16766000,1777202999999999,2434105.43124290,8456,16.27957000,1271302.90928540,0
1777203000000000,78139.55000000,78141.96000000,78074.29000000,78077.42000000,24.23986000,1777203899999999,1893010.45191470,5673,12.46599000,973597.94528990,0
1777203900000000,78077.41000000,78128.70000000,78050.33000000,78101.44000000,37.32868000,1777204799999999,2915403.08974450,7273,22.05156000,1722371.85009700,0
1777204800000000,78101.43000000,78101.50000000,77981.87000000,77981.87000000,35.69320000,1777205699999999,2785948.10842450,8223,11.94906000,932823.18172440,0
1777205700000000,77981.87000000,78027.30000000,77957.34000000,77976.60000000,65.73148000,1777206599999999,5126833.56532700,8397,31.15738000,2430162.50797220,0
1777206600000000,77976.59000000,77987.41000000,77950.00000000,77950.00000000,28.94947000,1777207499999999,2257184.18344160,5196,15.85075000,1235895.80435460,0
1777207500000000,77950.00000000,77950.01000000,77770.00000000,77833.08000000,166.56199000,1777208399999999,12965142.98501710,17984,35.96505000,2798909.85893430,0
1777208400000000,77833.08000000,77938.59000000,77797.13000000,77905.13000000,107.28215000,1777209299999999,8353675.89571950,11171,59.83168000,4659614.50398620,0
1777209300000000,77905.13000000,77941.22000000,77818.08000000,77874.43000000,54.86565000,1777210199999999,4273217.91025490,11791,25.46991000,1983676.35699130,0
1777210200000000,77874.43000000,77991.65000000,77873.38000000,77989.74000000,70.86719000,1777211099999999,5523230.68708170,11275,48.11178000,3749920.63773210,0
1777211100000000,77989.74000000,77996.69000000,77917.75000000,77977.79000000,21.45463000,1777211999999999,1672353.53119890,8820,9.04422000,704984.69218920,0
1777212000000000,77977.79000000,77977.80000000,77871.85000000,77958.74000000,64.14665000,1777212899999999,4997669.91632180,8211,10.66340000,830906.28476110,0
1777212900000000,77958.75000000,78173.15000000,77927.85000000,78065.97000000,134.19922000,1777213799999999,10478362.52580160,27458,83.12821000,6491528.21901610,0
1777213800000000,78065.97000000,78140.44000000,78011.45000000,78047.92000000,81.24125000,1777214699999999,6343858.20239590,15224,60.14513000,4696902.71129010,0
1777214700000000,78047.93000000,78157.67000000,77977.88000000,78095.66000000,122.07527000,1777215599999999,9532703.76937580,17028,67.73525000,5290696.62854400,0
1777215600000000,78095.65000000,78120.08000000,78035.70000000,78088.18000000,38.37802000,1777216499999999,2996994.36557880,10590,17.80847000,1390584.00393780,0
1777216500000000,78088.17000000,78121.92000000,77988.89000000,78099.98000000,87.39395000,1777217399999999,6821532.78263550,11530,32.32004000,2522866.24329920,0
1777217400000000,78099.99000000,78117.30000000,78028.11000000,78046.31000000,28.76160000,1777218299999999,2245032.14747420,8772,12.45094000,971826.37308180,0
1777218300000000,78046.31000000,78057.90000000,78000.01000000,78049.00000000,22.94063000,1777219199999999,1790110.42865560,8552,11.13601000,868942.32383780,0
1777219200000000,78049.00000000,78068.00000000,78010.16000000,78020.40000000,55.28751000,1777220099999999,4314654.41912490,8896,29.42178000,2296151.12954950,0
1777220100000000,78020.40000000,78050.08000000,78020.39000000,78050.07000000,27.98452000,1777220999999999,2183785.02834880,5523,16.44094000,1282965.04746800,0
1777221000000000,78050.07000000,78086.47000000,78000.17000000,78000.18000000,56.15870000,1777221899999999,4383454.15920340,8082,18.94192000,1478399.09553960,0
1777221900000000,78000.17000000,78034.10000000,77919.42000000,77919.43000000,59.53605000,1777222799999999,4642303.37445920,15267,13.99392000,1091355.91008570,0
1777222800000000,77919.43000000,78013.99000000,77850.00000000,78012.58000000,267.38276000,1777223699999999,20833782.97784230,17773,44.13636000,3439402.24933420,0
1777223700000000,78012.59000000,78049.99000000,77982.22000000,78016.85000000,39.93522000,1777224599999999,3115940.43007460,7473,29.24839000,2282190.07129610,0
